date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:47	9566/9566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22255e-5a688411551f2%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://petro.themegum.com/elementor/)
17:52:47	21116/21116	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:46%20GMT	http://petro.themegum.com/elementor/404-1/404-3/	D:/petro.themegum.com/petro.themegum.com/elementor/404-1/404-3/index.html	(from http://petro.themegum.com/elementor/)
17:52:47	20102/20102	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:47%20GMT	http://petro.themegum.com/elementor/404-1/404-4/	D:/petro.themegum.com/petro.themegum.com/elementor/404-1/404-4/index.html	(from http://petro.themegum.com/elementor/)
17:52:47	20454/20454	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:47%20GMT	http://petro.themegum.com/elementor/404-1/404-5/	D:/petro.themegum.com/petro.themegum.com/elementor/404-1/404-5/index.html	(from http://petro.themegum.com/elementor/)
17:52:48	2793/2793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ae9-5a688411580d2%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=4.1.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min0235.js	(from http://petro.themegum.com/elementor/)
17:52:49	1846/1846	---MCZ	200	added ('OK')	application/javascript	etag:W/%22736-5a688411580d2%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://petro.themegum.com/elementor/)
17:52:49	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2013%20Dec%202022%2012:22:49%20GMT	http://petro.themegum.com/elementor/shop/checkout/	D:/petro.themegum.com/petro.themegum.com/elementor/shop/checkout/index.html	(from http://petro.themegum.com/elementor/)
17:52:49	75581/75581	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:48%20GMT	http://petro.themegum.com/elementor/shop/	D:/petro.themegum.com/petro.themegum.com/elementor/shop/index.html	(from http://petro.themegum.com/elementor/)
17:52:50	1987/1987	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c3-5a688411580d2%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=4.1.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min0235.js	(from http://petro.themegum.com/elementor/)
17:52:50	99892/99892	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:49%20GMT	http://petro.themegum.com/elementor/shop/cart/	D:/petro.themegum.com/petro.themegum.com/elementor/shop/cart/index.html	(from http://petro.themegum.com/elementor/)
17:52:51	2940/2940	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b7c-5a688411580d2%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=4.1.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min0235.js	(from http://petro.themegum.com/elementor/)
17:52:51	66882/66882	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:50%20GMT	http://petro.themegum.com/elementor/project/balongan-refinery/	D:/petro.themegum.com/petro.themegum.com/elementor/project/balongan-refinery/index.html	(from http://petro.themegum.com/elementor/)
17:52:52	67089/67089	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:51%20GMT	http://petro.themegum.com/elementor/project/offshore/	D:/petro.themegum.com/petro.themegum.com/elementor/project/offshore/index.html	(from http://petro.themegum.com/elementor/)
17:52:52	66835/66835	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:52%20GMT	http://petro.themegum.com/elementor/project/wind-power/	D:/petro.themegum.com/petro.themegum.com/elementor/project/wind-power/index.html	(from http://petro.themegum.com/elementor/)
17:52:52	8097/8097	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa1-53353ba647080%22	http://petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.easing.1.3.js?ver=1.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.easing.1.35152.js	(from http://petro.themegum.com/elementor/)
17:52:53	15578/15578	---MCZ	200	added ('OK')	application/javascript	etag:W/%223cda-56d3dfa75a580%22	http://petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.superslides.js?ver=1.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.superslides5152.js	(from http://petro.themegum.com/elementor/)
17:52:54	67160/67160	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:53%20GMT	http://petro.themegum.com/elementor/project/oil-pipeline/	D:/petro.themegum.com/petro.themegum.com/elementor/project/oil-pipeline/index.html	(from http://petro.themegum.com/elementor/)
17:52:54	67154/67154	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:54%20GMT	http://petro.themegum.com/elementor/project/gear-manufacturing/	D:/petro.themegum.com/petro.themegum.com/elementor/project/gear-manufacturing/index.html	(from http://petro.themegum.com/elementor/)
17:52:55	67022/67022	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:54%20GMT	http://petro.themegum.com/elementor/project/iron-smelter/	D:/petro.themegum.com/petro.themegum.com/elementor/project/iron-smelter/index.html	(from http://petro.themegum.com/elementor/)
17:52:55	27082/27082	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ca-5a8dfc880e744%22	http://petro.themegum.com/elementor/wp-content/plugins/petro-elementor-addon/js/bootstrap.js?ver=3.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/petro-elementor-addon/js/bootstrap6aec.js	(from http://petro.themegum.com/elementor/)
17:52:55	67037/67037	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:55%20GMT	http://petro.themegum.com/elementor/project/warehouse-industry/	D:/petro.themegum.com/petro.themegum.com/elementor/project/warehouse-industry/index.html	(from http://petro.themegum.com/elementor/)
17:52:56	67079/67079	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:55%20GMT	http://petro.themegum.com/elementor/project/the-gas-company/	D:/petro.themegum.com/petro.themegum.com/elementor/project/the-gas-company/index.html	(from http://petro.themegum.com/elementor/)
17:52:57	8219/8219	---MCZ	200	added ('OK')	application/javascript	etag:W/%22201b-5380c3ca89f00%22	http://petro.themegum.com/elementor/wp-content/themes/petro/js/modernizr.custom.js?ver=1.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/themes/petro/js/modernizr.custom5152.js	(from http://petro.themegum.com/elementor/)
17:52:57	73075/73075	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:56%20GMT	http://petro.themegum.com/elementor/petro-service/material-engineering/	D:/petro.themegum.com/petro.themegum.com/elementor/petro-service/material-engineering/index.html	(from http://petro.themegum.com/elementor/)
17:52:58	11785/11785	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e09-59b7a0c3a0e40%22	http://petro.themegum.com/elementor/wp-content/themes/petro/js/themescript.js?ver=1.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/themes/petro/js/themescript5152.js	(from http://petro.themegum.com/elementor/)
17:52:59	71153/71153	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:58%20GMT	http://petro.themegum.com/elementor/petro-service/chemical-research/	D:/petro.themegum.com/petro.themegum.com/elementor/petro-service/chemical-research/index.html	(from http://petro.themegum.com/elementor/)
17:52:59	72985/72985	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:58%20GMT	http://petro.themegum.com/elementor/petro-service/power-and-energy/	D:/petro.themegum.com/petro.themegum.com/elementor/petro-service/power-and-energy/index.html	(from http://petro.themegum.com/elementor/)
17:53:01	71042/71042	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:23:00%20GMT	http://petro.themegum.com/elementor/petro-service/oils-and-lubricants/	D:/petro.themegum.com/petro.themegum.com/elementor/petro-service/oils-and-lubricants/index.html	(from http://petro.themegum.com/elementor/)
17:53:01	63975/63975	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:23:01%20GMT	http://petro.themegum.com/elementor/2017/06/14/best-in-dolor-sit-amet-consectetur-adipisicing/	D:/petro.themegum.com/petro.themegum.com/elementor/2017/06/14/best-in-dolor-sit-amet-consectetur-adipisicing/index.html	(from http://petro.themegum.com/elementor/)
17:53:02	2420/2420	---MCZ	200	added ('OK')	application/javascript	etag:W/%22974-59710bf0b1a00%22	http://petro.themegum.com/elementor/wp-includes/js/comment-reply.min.js?ver=5.4.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-includes/js/comment-reply.minc225.js	(from http://petro.themegum.com/elementor/)
17:53:02	21143/21143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225297-553507fabae00%22	http://petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.magnific-popup.min.js?ver=1.0	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/themes/petro/js/jquery.magnific-popup.min5152.js	(from http://petro.themegum.com/elementor/)
